"Uptime (ms)","Time spent in GC (%)","CPU time (kernel) (%)","CPU time (user + kernel) (%)"
"11500","0","0","0"
"13400","0","2","47"
"14400","0","2","51"
"15400","0","3","65"
"16400","0","3","61"
"17400","0","3","60"
"18400","0","3","59"
"19400","0","3","65"
"20400","0","3","63"
"21400","0","3","59"
"22400","0","3","57"
"23400","0","3","48"
"24400","0","3","44"
"25400","0","3","40"
"26400","0","4","48"
"27400","0","4","47"
"28400","0","3","32"
"29400","0","3","50"
"30400","0","3","48"
"31400","0","3","27"
"32400","0","3","45"
"33400","0","3","29"
"34400","0","3","30"
"35400","0","3","25"
"36400","0","2","20"
"37400","0","3","21"
"38400","0","3","25"
"39400","0","3","26"
"40400","0","4","30"
"41400","0","3","26"
"42400","0","3","27"
"43400","0","3","25"
"44400","0","3","26"
"45400","0","2","18"
"46400","0","3","20"
"47400","0","3","20"
"48400","0","3","19"
"49400","0","3","20"
"50400","0","3","20"
"51400","0","3","20"
"52400","0","3","19"
"53400","0","3","20"
"54400","0","3","21"
"55400","0","3","19"
"56400","0","3","19"
"57400","0","3","20"
"58500","0","3","20"
"60400","0","3","22"
"61500","0","3","18"
"62500","0","3","19"
"63500","0","3","22"
"64500","0","3","19"
"65500","0","3","18"
"66500","0","3","19"
"67500","0","3","20"
"68500","0","3","21"
"69500","0","3","19"
"70500","0","3","25"
"71500","0","3","21"
"72500","0","3","21"
"73500","0","3","28"
"74500","0","3","22"
"75500","0","3","19"
"76500","0","3","19"
"77500","0","3","22"
"78500","0","3","21"
"79500","0","3","19"
"80500","0","3","19"
"81500","0","3","18"
"82500","0","3","22"
"83500","0","3","19"
"84500","0","3","19"
"85500","0","3","23"
"86500","0","3","20"
"87500","0","3","20"
"88500","0","3","19"
"89500","0","3","20"
"90500","0","3","19"
"91500","0","3","21"
"92500","0","3","20"
"93500","0","3","21"
"94500","0","3","20"
"95500","0","3","21"
"96500","0","3","20"
"97500","0","3","19"
"98500","0","3","19"
"99500","0","3","19"
"100500","0","3","21"
"101500","0","3","19"
"102500","0","3","19"
"103500","0","3","20"
"104500","0","3","19"
"105500","0","3","20"
"106500","0","3","19"
"107500","0","3","21"
"108500","0","3","20"
"109500","0","3","21"
"110500","0","3","20"
"111500","0","3","20"
"112500","0","3","20"
"113500","0","3","21"
"114500","0","3","22"
"115500","0","3","19"
"116500","0","3","19"
"117500","0","3","18"
"118500","0","3","20"
"119500","0","3","19"
"120500","0","3","20"
"121500","0","3","20"
"122500","0","3","20"
"123500","0","3","22"
"124500","0","3","21"
"125500","0","3","21"
"126500","0","3","21"
"127500","0","3","20"
"128500","0","3","23"
"129500","0","3","21"
"130500","0","3","19"
"131500","0","3","20"
"132500","0","3","21"
"133500","0","3","20"
"134500","0","3","20"
"135500","0","3","20"
"136600","0","2","15"
"137600","0","3","19"
"138600","0","3","20"
"139600","0","3","20"
"140600","0","3","20"
"141600","0","3","19"
"142600","0","3","21"
"143600","0","3","22"
"144600","0","3","22"
"145600","0","3","20"
"146600","0","3","21"
"147600","0","3","21"
"148600","0","3","20"
"149600","0","3","23"
"150600","0","3","19"
"151600","0","3","20"
"152600","0","3","22"
"153600","0","3","19"
"154600","0","3","21"
"155600","0","3","20"
"156600","0","3","19"
"157600","0","3","21"
"158600","0","3","20"
"159600","0","3","20"
"160600","0","3","21"
"161600","0","3","20"
"162600","0","3","21"
"163600","0","3","21"
"164600","0","3","22"
"165600","0","3","20"
"166600","0","3","19"
"167600","0","3","20"
"168600","0","2","16"
"169600","0","2","12"
"170600","0","2","15"
"171600","0","2","17"
"172600","0","2","12"
"173600","0","2","17"
"174600","0","2","14"
"175600","0","3","19"
"176600","0","3","19"
"177600","1","3","20"
"178600","0","3","18"
"179600","0","2","15"
"180600","0","2","15"
"181600","0","2","14"
"182600","0","2","16"
"183600","0","3","17"
"184600","0","3","18"
"185600","0","3","18"
"186600","0","3","20"
"187600","0","3","20"
"188600","0","3","20"
"189600","0","3","21"
"190600","0","3","21"
"191600","0","3","18"
"192600","0","2","15"
"193600","0","2","16"
"194600","0","3","18"
"195600","0","3","20"
"196600","0","3","19"
"197600","0","3","19"
"198600","0","2","16"
"199600","0","2","17"
"200600","0","3","21"
"201600","0","3","21"
"202600","0","3","20"
"203600","0","3","18"
"204600","0","3","20"
"205600","0","3","22"
"206600","0","3","20"
"207600","0","3","21"
"208600","0","3","20"
"209600","0","3","20"
"210600","0","3","19"
"211600","0","3","19"
"212600","0","3","18"
"213600","0","3","20"
"214600","0","3","19"
"215600","0","3","18"
"216600","0","3","20"
"217600","0","3","19"
"218600","0","3","21"
"219600","0","3","20"
"220600","0","3","20"
"221600","0","3","19"
"222600","0","3","17"
"223600","0","3","20"
"224600","0","3","19"
"225600","0","3","20"
"226600","0","3","19"
"227600","0","3","20"
"228600","0","3","20"
"229600","0","3","17"
"230600","0","3","17"
"231600","0","3","17"
"232600","0","3","20"
"233600","0","3","17"
"234600","0","3","20"
"235600","0","3","18"
"236600","0","3","22"
"237600","0","3","19"
"238600","0","3","20"
"239600","0","3","20"
"240600","0","3","19"
"241600","0","2","15"
"242600","0","3","18"
"243600","0","3","20"
"244600","0","3","20"
"245600","0","3","22"
"246600","0","3","19"
"247600","0","3","20"
"248700","0","3","18"
"249700","0","3","20"
"250700","0","3","21"
"251700","0","3","18"
"252700","0","2","13"
"253700","0","3","17"
"254700","0","3","20"
"255700","0","3","21"
"256700","0","3","19"
"257700","0","3","21"
"258700","0","3","20"
"259700","0","3","20"
"260700","0","3","22"
"261700","0","3","20"
"262700","0","3","20"
"263700","0","3","20"
"264700","0","3","19"
"265700","0","3","19"
"266700","0","3","19"
"267700","0","3","21"
"268700","0","3","20"
"269700","0","3","20"
"270700","0","3","19"
"271700","0","3","18"
"272700","0","2","17"
"273700","0","3","17"
"274700","0","3","18"
"275700","0","3","20"
"276700","0","3","20"
"277700","0","3","20"
"278700","0","3","21"
"279700","0","3","21"
"280700","0","3","20"
"281700","0","3","20"
"282700","0","3","20"
"283700","0","2","16"
"284700","0","3","18"
"285700","0","3","20"
"286700","0","3","20"
"287700","0","3","19"
"288700","0","3","20"
"289700","0","3","18"
"290700","0","3","18"
"291700","0","3","19"
"292700","0","3","19"
"293800","0","3","16"
"295700","0","3","19"
"296700","0","3","20"
"297700","0","3","20"
"298800","0","3","19"
"299800","0","3","19"
"300800","0","3","19"
"301800","0","3","20"
"302800","0","3","19"
"303800","0","3","19"
"304800","0","3","19"
"305800","0","3","20"
"306800","0","3","20"
"307800","0","3","19"
"308800","0","3","20"
"309800","0","3","20"
"310800","0","3","20"
"311800","0","3","21"
"312800","0","3","20"
"313800","0","3","20"
"314800","0","3","20"
"315800","0","3","20"
"316800","0","3","20"
"317800","0","3","20"
"318800","0","3","20"
"319800","0","3","19"
"320800","0","3","20"
"321800","0","3","18"
"322800","0","3","19"
"323800","0","3","20"
"324800","0","3","20"
"325800","0","3","19"
"326800","0","3","19"
"327800","0","3","17"
"328800","0","3","19"
"329800","0","3","18"
"330800","0","3","21"
"331800","0","3","21"
"332800","0","3","19"
"333800","0","3","20"
"334800","0","3","20"
"335800","0","2","16"
"336800","0","3","20"
"337800","0","3","18"
"338800","0","3","20"
"339800","0","3","25"
"340800","0","3","18"
"341800","0","3","18"
"342800","0","3","19"
"343800","0","3","18"
"344800","0","3","19"
"345800","0","3","19"
"346800","0","3","20"
"347800","0","3","20"
"348800","0","3","20"
"349800","0","3","20"
"350800","0","3","18"
"351800","0","3","21"
"352800","0","3","19"
"353800","0","3","19"
"354800","0","3","20"
"355800","0","3","19"
"356800","0","3","18"
"357800","0","3","21"
"358800","0","3","19"
"359900","0","3","18"
"360900","0","3","19"
"361900","0","3","17"
"362900","0","3","19"
"363900","0","3","19"
"364900","0","3","20"
"365900","0","3","21"
"366900","0","3","19"
"367900","0","3","19"
"368900","0","3","21"
"369900","0","2","16"
"370900","0","3","19"
"371900","0","3","20"
"372900","0","3","19"
"373900","0","3","21"
"374900","0","3","20"
"375900","0","3","20"
"376900","0","3","21"
"377900","0","3","20"
"378900","0","3","18"
"379900","0","3","16"
"380900","0","3","17"
"381900","0","3","19"
"382900","0","3","17"
"383900","0","3","19"
"384900","0","3","21"
"385900","0","3","21"
"386900","0","3","20"
"387900","0","3","20"
"388900","0","3","21"
"389900","0","3","19"
"390900","0","3","19"
"391900","0","3","23"
"392900","0","3","19"
"393900","0","3","22"
"394900","0","3","20"
"395900","0","3","20"
"396900","0","3","22"
"397900","0","3","19"
"398900","0","3","18"
"399900","0","3","19"
"400900","0","3","18"
"401900","0","3","18"
"402900","0","3","18"
"403900","0","3","17"
"404900","0","3","18"
"405900","0","3","18"
"406900","0","2","15"
"407900","0","2","15"
"408900","0","2","12"
"409900","0","2","16"
"410900","0","2","16"
"411900","0","3","17"
"412900","0","3","17"
"414000","0","2","15"
"415000","0","3","16"
"416000","0","2","16"
"417000","0","2","16"
"418000","0","2","15"
"419000","0","2","16"
"420000","0","3","18"
"421000","0","2","17"
"422000","0","3","16"
"423000","0","3","17"
"424000","0","3","16"
"425000","0","3","17"
"426000","0","3","20"
"427000","0","3","19"
"428000","0","3","21"
"429000","0","3","19"
"430000","0","3","19"
"431000","0","3","20"
"432000","0","3","19"
"433000","0","3","20"
"434000","0","3","20"
"435000","0","3","21"
"436000","0","3","19"
"437000","0","3","20"
"438000","0","3","19"
"439000","0","3","19"
"440000","0","3","20"
"441000","0","3","19"
"442000","0","3","19"
"443000","0","3","19"
"444000","0","3","22"
"445000","0","3","19"
"446000","0","3","20"
"447000","0","3","20"
"448000","0","3","20"
"449000","0","3","26"
"450000","0","3","20"
"451000","0","3","20"
"452000","0","3","21"
"453000","0","3","21"
"454000","0","3","20"
"455000","0","3","21"
"456000","0","3","19"
"457000","0","3","19"
"458000","0","3","20"
"459000","0","3","19"
"460000","0","3","20"
"461000","0","3","20"
"462000","0","3","18"
"463100","0","3","17"
